"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","16 минут — оплата за 1 час","parkingMeter: unit-тесты расчёта стоимости парковки","2026-04-15","passed","2026-04-15","","","",""
"","2","Ошибка при падении BarrierSystem","parkingMeter: unit-тесты расчёта стоимости парковки","2026-04-15","passed","2026-04-15","","","",""
"","569","Пустой номер автомобиля — ошибка","chromium","2026-04-15","passed","2026-04-15","Расчёт стоимости парковки","parking.spec.js","",""
"","660","Парковка 120 минут — отображение стоимости","chromium","2026-04-15","passed","2026-04-15","Расчёт стоимости парковки","parking.spec.js","",""
"","1","Переход через сутки — 1ч40мин = 200 руб","parkingMeter: unit-тесты расчёта стоимости парковки","2026-04-15","passed","2026-04-15","","","",""
"","672","Парковка 61 минута — 1 оплачиваемый час","chromium","2026-04-15","passed","2026-04-15","Расчёт стоимости парковки","parking.spec.js","",""
"","1","Ошибка, если система вернула не Date","parkingMeter: unit-тесты расчёта стоимости парковки","2026-04-15","passed","2026-04-15","","","",""
"","1483","Парковка 10 минут — бесплатно","chromium","2026-04-15","passed","2026-04-15","Расчёт стоимости парковки","parking.spec.js","",""
"","650","Несуществующий номер — ошибка 404","chromium","2026-04-15","passed","2026-04-15","Расчёт стоимости парковки","parking.spec.js","",""
"","646","Парковка 16 минут — округление до 1 часа","chromium","2026-04-15","passed","2026-04-15","Расчёт стоимости парковки","parking.spec.js","",""
"","21","Ровно 15 минут — бесплатно","parkingMeter: unit-тесты расчёта стоимости парковки","2026-04-15","passed","2026-04-15","","","",""
"","1302","Data-Driven: проверка разных автомобилей и статусов","chromium","2026-04-15","passed","2026-04-15","Расчёт стоимости парковки","parking.spec.js","",""
"","2","Ошибка, если время выезда раньше въезда","parkingMeter: unit-тесты расчёта стоимости парковки","2026-04-15","passed","2026-04-15","","","",""
"","4","Ошибка, если не указан номер автомобиля","parkingMeter: unit-тесты расчёта стоимости парковки","2026-04-15","passed","2026-04-15","","","",""
